Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
GTF3C2	2p23.3	-0.86	-1.19	0.67	0.53	0.33	2.164e-6	6.665e-6	(A) Negative
SURF6	9q34.2	-0.43	-0.67	0.47	0.42	0.24	2.185e-6	6.729e-6	(A) Negative
AMHR2	12q13.13	-2.41	-2.13	0.49	0.70	-0.28	2.188e-6	6.735e-6	(B) Positive
PDCD6IP	3p22.3	-0.17	0.11	0.56	0.45	-0.27	2.195e-6	6.756e-6	(B) Positive
PODXL2	3q21.3	-0.08	-0.56	0.91	1.03	0.48	2.195e-6	6.756e-6	(A) Negative
BSND	1p32.3	-2.00	-2.36	0.74	0.59	0.37	2.199e-6	6.766e-6	(A) Negative
RYK	3q22.2	0.74	0.48	0.55	0.39	0.27	2.199e-6	6.766e-6	(A) Negative
CRIP2	14q32.33	1.06	1.50	0.87	0.85	-0.44	2.200e-6	6.766e-6	(B) Positive
FBXW7	4q31.3	0.51	0.20	0.64	0.43	0.31	2.209e-6	6.794e-6	(A) Negative
POU5F1P3	12p13.31	-4.50	-4.85	0.73	0.48	0.35	2.221e-6	6.829e-6	(A) Negative
PYROXD1	12p12.1	0.49	0.13	0.72	0.59	0.36	2.226e-6	6.845e-6	(A) Negative
TMEM245	9q31.3	-0.28	-0.07	0.41	0.39	-0.21	2.233e-6	6.865e-6	(B) Positive
KCTD2	17q25.1	0.06	0.29	0.45	0.51	-0.24	2.238e-6	6.879e-6	(B) Positive
SPRTN	1q42.2	0.93	0.66	0.53	0.49	0.27	2.240e-6	6.882e-6	(A) Negative
C1QL4	12q13.12	0.33	-0.05	0.80	0.43	0.38	2.246e-6	6.900e-6	(A) Negative
BDP1	5q13.2	-0.18	0.19	0.75	0.66	-0.38	2.247e-6	6.902e-6	(B) Positive
MOCOS	18q12.2	-1.23	-1.89	1.33	1.13	0.66	2.267e-6	6.963e-6	(A) Negative
SPINK1	5q32	0.17	-0.67	1.68	1.43	0.83	2.271e-6	6.972e-6	(A) Negative
CSAG1	Xq28	-2.88	-3.61	1.49	1.03	0.72	2.271e-6	6.973e-6	(A) Negative
FMC1	7q34	0.11	-0.22	0.65	0.63	0.33	2.274e-6	6.981e-6	(A) Negative
LSM14B	20q13.33	0.45	0.12	0.65	0.63	0.33	2.280e-6	6.997e-6	(A) Negative
SMIM30	7q31.1	-0.32	-0.67	0.71	0.58	0.35	2.282e-6	7.003e-6	(A) Negative
SSH2	17q11.2	-1.09	-1.42	0.65	0.67	0.33	2.292e-6	7.031e-6	(A) Negative
GAPT	5q11.2	2.92	3.53	1.22	1.14	-0.61	2.309e-6	7.083e-6	(B) Positive
GRIK1	21q21.3	-0.28	0.10	0.56	1.21	-0.38	2.311e-6	7.086e-6	(B) Positive
SLC6A17	1p13.3	0.73	0.51	0.44	0.41	0.22	2.327e-6	7.136e-6	(A) Negative
EIF3L	22q13.1	0.22	-0.03	0.48	0.48	0.25	2.332e-6	7.148e-6	(A) Negative
HIC2	22q11.21	-2.30	-2.57	0.53	0.53	0.27	2.348e-6	7.196e-6	(A) Negative
PRPF6	20q13.33	0.09	0.33	0.46	0.48	-0.24	2.348e-6	7.196e-6	(B) Positive
KCTD14	11q14.1	0.10	-0.78	1.83	1.31	0.89	2.352e-6	7.205e-6	(A) Negative
CST4	20p11.21	0.80	1.41	1.19	1.22	-0.61	2.360e-6	7.230e-6	(B) Positive
LTB	6p21.33	3.70	3.00	1.39	1.38	0.71	2.366e-6	7.247e-6	(A) Negative
ZNF346	5q35.2	-0.37	-0.19	0.36	0.33	-0.18	2.368e-6	7.250e-6	(B) Positive
EFHD1	2q37.1	2.19	2.66	0.96	0.76	-0.47	2.370e-6	7.258e-6	(B) Positive
ATP6AP2	Xp11.4	0.23	0.49	0.51	0.54	-0.26	2.373e-6	7.266e-6	(B) Positive
SEMA5B	3q21.1	-0.05	-0.57	1.09	0.67	0.52	2.384e-6	7.296e-6	(A) Negative
MARCHF2	19p13.2	1.33	1.56	0.45	0.43	-0.23	2.389e-6	7.312e-6	(B) Positive
HTRA3	4p16.1	1.52	2.02	0.98	1.00	-0.50	2.392e-6	7.318e-6	(B) Positive
ZFHX3	16q22.2-q22.3	-0.09	0.30	0.78	0.63	-0.38	2.394e-6	7.324e-6	(B) Positive
ZSCAN26	6p22.1	-0.01	0.24	0.51	0.45	-0.25	2.408e-6	7.364e-6	(B) Positive
ZNF488	10q11.22	-0.41	-0.83	0.87	0.61	0.42	2.410e-6	7.368e-6	(A) Negative
AP3S2	15q26.1	0.24	0.49	0.50	0.48	-0.25	2.418e-6	7.392e-6	(B) Positive
TMTC3	12q21.32	0.57	0.85	0.56	0.56	-0.29	2.423e-6	7.405e-6	(B) Positive
SAMD4B	19q13.2	0.56	0.34	0.44	0.35	0.22	2.429e-6	7.424e-6	(A) Negative
RACGAP1P1	12q12	-1.55	-2.01	0.90	0.99	0.47	2.433e-6	7.435e-6	(A) Negative
ALG11	13q14.3	-0.54	-0.25	0.59	0.50	-0.29	2.433e-6	7.435e-6	(B) Positive
DDX49	19p13.11	0.31	0.06	0.50	0.40	0.25	2.434e-6	7.436e-6	(A) Negative
FAM86C1P	11q13.4	-0.42	-0.22	0.40	0.34	-0.20	2.436e-6	7.440e-6	(B) Positive
SPRED2	2p14	-0.14	0.30	0.92	0.58	-0.44	2.443e-6	7.459e-6	(B) Positive
LTB4R2	14q12	0.53	0.32	0.41	0.31	0.20	2.450e-6	7.479e-6	(A) Negative
PLPBP	8p11.23	0.19	0.53	0.65	0.77	-0.34	2.457e-6	7.500e-6	(B) Positive
CUEDC1	17q22	0.54	1.02	0.98	0.78	-0.48	2.460e-6	7.508e-6	(B) Positive
COL14A1	8q24.12	-0.38	0.29	1.32	1.37	-0.68	2.473e-6	7.547e-6	(B) Positive
PPIE	1p34.2	0.04	-0.19	0.45	0.46	0.23	2.476e-6	7.553e-6	(A) Negative
TOR1AIP2	1q25.2	0.75	0.48	0.53	0.48	0.27	2.485e-6	7.581e-6	(A) Negative
LINS1	15q26.3	-0.14	0.11	0.49	0.47	-0.25	2.503e-6	7.632e-6	(B) Positive
GPR34	Xp11.4	4.08	4.73	1.30	1.24	-0.66	2.509e-6	7.650e-6	(B) Positive
CNNM1	10q24.2	-0.19	-0.55	0.75	0.56	0.36	2.524e-6	7.695e-6	(A) Negative
TOM1L1	17q22	0.04	0.46	0.83	0.87	-0.43	2.538e-6	7.736e-6	(B) Positive
SLC16A13	17p13.1	0.18	-0.02	0.42	0.36	0.21	2.541e-6	7.743e-6	(A) Negative
CD27	12p13.31	3.47	3.02	0.86	0.98	0.45	2.557e-6	7.792e-6	(A) Negative
TSR3	16p13.3	0.29	0.52	0.47	0.47	-0.24	2.570e-6	7.830e-6	(B) Positive
ABCC5	3q27.1	0.07	0.41	0.62	0.83	-0.34	2.576e-6	7.847e-6	(B) Positive
TOR1AIP1	1q25.2	0.36	0.59	0.46	0.45	-0.23	2.581e-6	7.860e-6	(B) Positive
INTS7	1q32.3	0.02	-0.22	0.48	0.54	0.25	2.594e-6	7.898e-6	(A) Negative
CCNL2	1p36.33	-1.13	-0.92	0.42	0.45	-0.22	2.595e-6	7.901e-6	(B) Positive
GPR108	19p13.3	0.28	0.51	0.47	0.42	-0.23	2.609e-6	7.941e-6	(B) Positive
ZNF254	19p13	-0.21	0.14	0.71	0.59	-0.35	2.610e-6	7.942e-6	(B) Positive
S100A7	1q21.3	1.55	0.19	2.73	2.52	1.36	2.613e-6	7.950e-6	(A) Negative
FZD5	2q33.3	-1.24	-1.66	0.88	0.69	0.43	2.615e-6	7.956e-6	(A) Negative
SYN2	3p25.2	0.08	-0.41	1.05	0.58	0.50	2.635e-6	8.016e-6	(A) Negative
TAP2	6p21.32	0.47	0.14	0.69	0.54	0.34	2.639e-6	8.027e-6	(A) Negative
EDN2	1p34.2	2.97	2.17	1.57	1.63	0.80	2.650e-6	8.057e-6	(A) Negative
IL17RD	3p14.3	0.46	-0.17	1.29	0.96	0.62	2.660e-6	8.086e-6	(A) Negative
LINC01711	20q13.32	-0.46	0.05	1.03	0.96	-0.51	2.674e-6	8.128e-6	(B) Positive
TLR2	4q31.3	3.65	3.22	0.86	0.75	0.43	2.687e-6	8.166e-6	(A) Negative
GJD4	10p11.21	0.31	0.16	0.30	0.27	0.15	2.699e-6	8.200e-6	(A) Negative
SRRM1	1p36.11	-0.07	-0.32	0.51	0.45	0.25	2.708e-6	8.227e-6	(A) Negative
TMEM39A	3q13.33	0.61	0.38	0.49	0.37	0.24	2.714e-6	8.245e-6	(A) Negative
FGF20	8p22	0.44	0.86	0.84	0.76	-0.42	2.720e-6	8.259e-6	(B) Positive
RIT2	18q12.3	-0.22	0.03	0.49	0.50	-0.25	2.726e-6	8.277e-6	(B) Positive
PABPC4	1p34.3	-0.71	-1.07	0.72	0.75	0.37	2.730e-6	8.289e-6	(A) Negative
RAPGEFL1	17q21.1	-0.58	0.00	1.12	1.22	-0.58	2.733e-6	8.295e-6	(B) Positive
WFIKKN1	16p13.3	-2.14	-1.67	0.89	1.02	-0.47	2.738e-6	8.309e-6	(B) Positive
TRMT9B	8p22	0.37	0.84	0.88	1.12	-0.47	2.754e-6	8.357e-6	(B) Positive
KNTC1	12q24.31	-1.84	-2.16	0.64	0.65	0.32	2.756e-6	8.362e-6	(A) Negative
VCAM1	1p21.2	2.01	1.46	1.12	0.89	0.55	2.757e-6	8.362e-6	(A) Negative
CNTNAP1	17q21.2	-1.68	-1.48	0.37	0.43	-0.20	2.759e-6	8.368e-6	(B) Positive
SERF1A	5q13.2	-0.27	0.05	0.64	0.60	-0.32	2.766e-6	8.388e-6	(B) Positive
ZNF8	19q13.43	0.31	0.05	0.53	0.45	0.26	2.773e-6	8.408e-6	(A) Negative
WASF1	6q21	-0.99	-1.53	1.09	1.03	0.55	2.775e-6	8.411e-6	(A) Negative
FERD3L	7p21.1	0.16	0.01	0.30	0.27	0.15	2.784e-6	8.435e-6	(A) Negative
TAF1A	1q41	-0.73	-1.03	0.61	0.54	0.30	2.784e-6	8.435e-6	(A) Negative
NDUFC2	11q14.1	0.54	0.89	0.68	0.74	-0.35	2.792e-6	8.459e-6	(B) Positive
NUTM1	15q14	0.19	-0.22	0.87	0.53	0.41	2.803e-6	8.490e-6	(A) Negative
XRCC6	22q13.2	-0.05	-0.29	0.49	0.40	0.24	2.810e-6	8.509e-6	(A) Negative
SAXO4	11q12.2	0.15	0.43	0.55	0.56	-0.28	2.814e-6	8.520e-6	(B) Positive
MIR7-3HG	19p13.3	-0.11	0.16	0.42	0.83	-0.27	2.818e-6	8.532e-6	(B) Positive
ZC2HC1C	14q24.3	0.60	0.88	0.55	0.59	-0.28	2.825e-6	8.552e-6	(B) Positive
DYNLT3	Xp11.4	-0.52	-0.21	0.62	0.55	-0.31	2.841e-6	8.596e-6	(B) Positive
MAGI3	1p13.2	1.29	1.74	0.89	0.86	-0.45	2.871e-6	8.685e-6	(B) Positive
CHDH	3p21.1	-0.01	0.38	0.72	0.88	-0.38	2.871e-6	8.685e-6	(B) Positive
POSTN	13q13.3	4.03	4.69	1.30	1.33	-0.66	2.876e-6	8.698e-6	(B) Positive
DPYS	8q22.3	0.86	0.58	0.56	0.53	0.28	2.885e-6	8.723e-6	(A) Negative
ATP8B1	18q21.31	1.16	1.54	0.77	0.66	-0.38	2.890e-6	8.737e-6	(B) Positive
FIGLA	2p13.3	0.60	0.21	0.81	0.63	0.40	2.902e-6	8.773e-6	(A) Negative
C8ORF34	8q13.2	0.76	1.19	0.67	1.32	-0.43	2.903e-6	8.774e-6	(B) Positive
OR10A2	11p15.4	0.35	0.20	0.32	0.29	0.16	2.904e-6	8.774e-6	(A) Negative
PABPC5	Xq21.31	0.43	0.76	0.59	0.88	-0.33	2.904e-6	8.774e-6	(B) Positive
EIF2S2	20q11.22	-0.39	-0.66	0.57	0.50	0.28	2.918e-6	8.814e-6	(A) Negative
ARAP2	4p14	1.14	0.71	0.87	0.81	0.43	2.920e-6	8.820e-6	(A) Negative
MR1	1q25.3	0.06	0.41	0.71	0.68	-0.36	2.928e-6	8.842e-6	(B) Positive
OTOA	16p12.2	0.70	0.98	0.57	0.46	-0.28	2.934e-6	8.857e-6	(B) Positive
RNF214	11q23.3	-0.48	-0.72	0.50	0.44	0.25	2.940e-6	8.876e-6	(A) Negative
PSMD2	3q27.1	-0.23	-0.51	0.57	0.50	0.28	2.941e-6	8.877e-6	(A) Negative
RASL10B	17q12	-1.16	-1.49	0.68	0.51	0.33	2.951e-6	8.904e-6	(A) Negative
MAGEA5P	Xq28	-1.52	-2.06	1.14	0.70	0.54	2.959e-6	8.928e-6	(A) Negative
ARL8B	3p26.1	0.33	0.58	0.52	0.42	-0.25	2.960e-6	8.931e-6	(B) Positive
AGER	6p21.32	-1.05	-1.22	0.34	0.38	0.18	2.967e-6	8.948e-6	(A) Negative
LDB2	4p15.32	0.47	0.84	0.74	0.71	-0.37	2.970e-6	8.955e-6	(B) Positive
USP12	13q12.13	-0.12	-0.40	0.58	0.50	0.28	2.972e-6	8.960e-6	(A) Negative
ARHGAP27	17q21.31	0.41	0.15	0.51	0.54	0.26	2.985e-6	8.998e-6	(A) Negative
SART1	11q13.1	-0.21	-0.42	0.40	0.41	0.20	2.985e-6	8.998e-6	(A) Negative
PTPN21	14q31.3	0.18	-0.16	0.67	0.63	0.33	2.991e-6	9.013e-6	(A) Negative
SH3BP2	4p16.3	0.82	0.66	0.32	0.29	0.16	3.014e-6	9.082e-6	(A) Negative
CHRNA9	4p14	-3.71	-3.15	0.79	1.89	-0.56	3.019e-6	9.094e-6	(B) Positive
ZNF407	18q23	0.80	1.02	0.40	0.51	-0.21	3.025e-6	9.112e-6	(B) Positive
IL6	7p15.3	-0.78	-1.50	1.38	1.57	0.72	3.034e-6	9.135e-6	(A) Negative
TMEM249	8q24.3	0.31	-0.17	0.96	0.88	0.48	3.037e-6	9.142e-6	(A) Negative
NECTIN4	1q23.3	3.65	3.23	0.82	0.83	0.41	3.037e-6	9.142e-6	(A) Negative
RHBDL3	17q11.2	-1.45	-0.77	1.35	1.41	-0.69	3.041e-6	9.152e-6	(B) Positive
RFXAP	13q13.3	-0.82	-1.17	0.72	0.62	0.35	3.067e-6	9.229e-6	(A) Negative
SH3BP5L	1q44	0.50	0.22	0.56	0.54	0.28	3.081e-6	9.269e-6	(A) Negative
GSE1	16q24.1	-0.45	-0.11	0.70	0.61	-0.34	3.081e-6	9.269e-6	(B) Positive
BSCL2	11q12.3	0.19	0.49	0.61	0.57	-0.30	3.083e-6	9.273e-6	(B) Positive
KCNN3	1q21.3	-0.68	-1.15	0.99	0.71	0.48	3.087e-6	9.282e-6	(A) Negative
TUBA3FP	22q11.21	-1.84	-1.58	0.48	0.62	-0.26	3.088e-6	9.284e-6	(B) Positive
CEP192	18p11.21	-0.47	-0.75	0.59	0.47	0.28	3.092e-6	9.294e-6	(A) Negative
FNBP4	11p11.2	-0.85	-1.08	0.47	0.41	0.23	3.093e-6	9.295e-6	(A) Negative
PAPOLG	2p16.1	0.57	0.34	0.47	0.41	0.23	3.103e-6	9.325e-6	(A) Negative
IGSF21	1p36.13	0.36	1.02	1.28	1.46	-0.66	3.110e-6	9.343e-6	(B) Positive
KIR2DS4	19q13.42	0.52	0.35	0.34	0.26	0.17	3.116e-6	9.361e-6	(A) Negative
CIRBP-AS1	19p13.3	0.71	0.45	0.55	0.40	0.26	3.137e-6	9.422e-6	(A) Negative
SEC61G	7p11.2	-0.43	-0.86	0.88	0.66	0.42	3.142e-6	9.436e-6	(A) Negative
CRELD2	22q13.33	0.82	0.52	0.60	0.58	0.30	3.151e-6	9.460e-6	(A) Negative
TNFRSF4	1p36.33	3.08	2.67	0.83	0.71	0.41	3.154e-6	9.469e-6	(A) Negative
OSR1	2p24.1	0.88	0.05	1.73	1.33	0.83	3.162e-6	9.491e-6	(A) Negative
TOX2	20q13.12	-2.28	-2.74	0.95	0.85	0.47	3.163e-6	9.491e-6	(A) Negative
TINCR	19p13.3	0.58	-0.31	1.78	1.67	0.89	3.167e-6	9.501e-6	(A) Negative
IKZF5	10q26.13	0.20	0.51	0.64	0.47	-0.31	3.183e-6	9.548e-6	(B) Positive
ADRA2B	2q11.2	0.33	0.02	0.64	0.47	0.31	3.209e-6	9.623e-6	(A) Negative
AIFM3	22q11.21	-0.51	-0.18	0.64	0.76	-0.33	3.209e-6	9.623e-6	(B) Positive
GOLGA2P5	12q23.1	-0.04	0.24	0.56	0.50	-0.27	3.221e-6	9.657e-6	(B) Positive
ARMH3	10q24.32	0.28	0.44	0.33	0.27	-0.16	3.229e-6	9.681e-6	(B) Positive
ZNF700	19p13.2	-0.92	-0.64	0.57	0.54	-0.28	3.245e-6	9.725e-6	(B) Positive
PSMC6	14q22.1	-0.61	-0.37	0.49	0.43	-0.24	3.250e-6	9.740e-6	(B) Positive
LIN37	19q13.12	0.66	0.44	0.44	0.44	0.22	3.257e-6	9.758e-6	(A) Negative
CENPV	17p11.2	-2.00	-2.60	1.20	1.12	0.60	3.263e-6	9.774e-6	(A) Negative
CCL15	17q12	1.04	1.40	0.71	0.69	-0.35	3.264e-6	9.775e-6	(B) Positive
SAPCD1	6p21.33	-2.13	-2.43	0.60	0.58	0.30	3.266e-6	9.781e-6	(A) Negative
PTH1R	3p21.31	-1.75	-1.38	0.73	0.77	-0.37	3.281e-6	9.824e-6	(B) Positive
BLNK	10q24.1	0.97	1.39	0.88	0.73	-0.43	3.315e-6	9.923e-6	(B) Positive
ANKFN1	17q22	-1.03	-0.74	0.50	0.82	-0.29	3.316e-6	9.924e-6	(B) Positive
FRMD5	15q15.3	-1.61	-2.32	1.50	0.96	0.71	3.318e-6	9.929e-6	(A) Negative
LSM5	7p14.3	-0.70	-0.96	0.53	0.45	0.26	3.319e-6	9.932e-6	(A) Negative
COPS7B	2q37.1	-0.23	-0.46	0.48	0.41	0.24	3.328e-6	9.956e-6	(A) Negative
CARD17P	11q22.3	0.98	0.46	1.07	0.89	0.52	3.329e-6	9.958e-6	(A) Negative
ARPC2	2q35	0.39	0.17	0.44	0.41	0.22	3.336e-6	9.974e-6	(A) Negative
E2F5	8q21.2	0.30	-0.16	0.94	0.87	0.46	3.336e-6	9.974e-6	(A) Negative
NAP1L3	Xq21.32	-0.73	-0.21	1.05	1.00	-0.52	3.343e-6	9.994e-6	(B) Positive
RUNDC3A	17q21.31	0.21	0.45	0.37	0.73	-0.24	3.347e-6	1.000e-5	(B) Positive
TMCO5A	15q14	0.57	0.33	0.52	0.36	0.25	3.352e-6	1.002e-5	(A) Negative
SERPINB2	18q21.33-q22.1	-4.05	-4.79	1.59	0.83	0.74	3.371e-6	1.007e-5	(A) Negative
RANGRF	17p13.1	-0.74	-0.41	0.66	0.68	-0.33	3.400e-6	1.016e-5	(B) Positive
GPC4	Xq26.2	-0.16	0.51	1.35	1.33	-0.67	3.404e-6	1.017e-5	(B) Positive
USP20	9q34.2	-0.93	-0.74	0.37	0.39	-0.19	3.408e-6	1.018e-5	(B) Positive
P4HA3	11q13.4	2.38	2.86	0.99	0.85	-0.48	3.417e-6	1.020e-5	(B) Positive
SLC2A3	12p13.31	-2.59	-2.93	0.68	0.63	0.34	3.418e-6	1.020e-5	(A) Negative
AP1AR	4q25	0.28	0.60	0.65	0.58	-0.32	3.427e-6	1.023e-5	(B) Positive
KL	13q13.1	1.44	1.82	0.71	0.96	-0.38	3.434e-6	1.025e-5	(B) Positive
DPH6	15q14	-0.43	-0.16	0.54	0.55	-0.27	3.438e-6	1.026e-5	(B) Positive
PRKCI	3q26.2	0.58	0.23	0.73	0.65	0.36	3.438e-6	1.026e-5	(A) Negative
HAUS4	14q11.2	-0.74	-0.46	0.57	0.45	-0.27	3.442e-6	1.027e-5	(B) Positive
SNRPD3	22q11.23	0.07	-0.17	0.49	0.50	0.25	3.457e-6	1.031e-5	(A) Negative
SMCHD1	18p11.32	-0.11	-0.42	0.62	0.56	0.31	3.469e-6	1.034e-5	(A) Negative
UNC119	17q11.2	-0.03	0.26	0.58	0.54	-0.29	3.487e-6	1.039e-5	(B) Positive
LIME1	20q13.33	-0.71	-0.97	0.54	0.49	0.27	3.489e-6	1.040e-5	(A) Negative
PRDM15	21q22.3	-0.56	-0.74	0.36	0.34	0.18	3.499e-6	1.043e-5	(A) Negative
ERI3	1p34.1	-0.24	-0.55	0.61	0.61	0.31	3.508e-6	1.045e-5	(A) Negative
HSF2	6q22.31	-0.39	-0.71	0.67	0.46	0.32	3.512e-6	1.046e-5	(A) Negative
AQP7P2	9q13	0.18	0.64	0.85	1.18	-0.46	3.539e-6	1.054e-5	(B) Positive
SELENOT	3q25.1	-0.11	0.20	0.62	0.51	-0.30	3.539e-6	1.054e-5	(B) Positive
BTF3L4	1p32.3	-0.04	-0.24	0.41	0.42	0.21	3.553e-6	1.058e-5	(A) Negative
FAN1	15q13.3	-0.23	-0.03	0.41	0.40	-0.20	3.556e-6	1.059e-5	(B) Positive
SLC25A24	1p13.3	-0.06	0.29	0.70	0.64	-0.34	3.557e-6	1.059e-5	(B) Positive
COL13A1	10q22.1	-0.26	-0.80	1.14	0.86	0.54	3.557e-6	1.059e-5	(A) Negative
TANGO2	22q11.21	-0.41	-0.14	0.52	0.60	-0.27	3.584e-6	1.067e-5	(B) Positive
GRIPAP1	Xp11.23	0.03	0.25	0.44	0.40	-0.22	3.587e-6	1.067e-5	(B) Positive
GFPT1	2p13.3	0.48	0.17	0.63	0.58	0.31	3.598e-6	1.070e-5	(A) Negative
IQCB1	3q13.33	-0.37	-0.68	0.66	0.49	0.31	3.602e-6	1.071e-5	(A) Negative
TFRC	3q29	-1.47	-2.02	1.13	0.98	0.55	3.632e-6	1.080e-5	(A) Negative
WDR64	1q43	0.44	0.15	0.59	0.54	0.29	3.647e-6	1.084e-5	(A) Negative
EPB41L1	20q11.23	0.51	0.87	0.73	0.66	-0.36	3.674e-6	1.092e-5	(B) Positive
TNN	1q25.1	2.79	3.64	1.73	1.56	-0.85	3.680e-6	1.094e-5	(B) Positive
STN1	10q24.33	-0.16	0.13	0.60	0.44	-0.29	3.701e-6	1.100e-5	(B) Positive
SPNS3	17p13.2	-0.86	-1.14	0.58	0.52	0.28	3.703e-6	1.100e-5	(A) Negative
CLK1	2q33.1	-0.02	0.28	0.61	0.61	-0.31	3.705e-6	1.101e-5	(B) Positive
IPO8	12p11.21	0.36	0.09	0.56	0.43	0.27	3.718e-6	1.104e-5	(A) Negative
CYTH2	19q13.33	0.53	0.82	0.60	0.59	-0.30	3.725e-6	1.106e-5	(B) Positive
TMEM204	16p13.3	4.19	4.60	0.82	0.77	-0.40	3.730e-6	1.107e-5	(B) Positive
EPB41L3	18p11.31	-0.61	-0.07	1.11	1.05	-0.55	3.737e-6	1.109e-5	(B) Positive
PDIA2	16p13.3	-2.71	-3.34	1.39	0.72	0.64	3.743e-6	1.111e-5	(A) Negative
CRABP2	1q23.1	0.83	1.53	1.47	1.05	-0.70	3.749e-6	1.112e-5	(B) Positive
FAXC	6q16.2	1.08	0.56	1.09	0.83	0.52	3.753e-6	1.113e-5	(A) Negative
SPRED1	15q14	0.28	-0.05	0.64	0.72	0.33	3.759e-6	1.115e-5	(A) Negative
FOXD3	1p31.3	0.76	0.55	0.42	0.44	0.21	3.763e-6	1.116e-5	(A) Negative
CTNNA1	5q31.2	0.41	0.63	0.45	0.38	-0.22	3.782e-6	1.121e-5	(B) Positive
NUP85	17q25.1	-0.27	-0.51	0.47	0.53	0.24	3.783e-6	1.121e-5	(A) Negative
LIPA	10q23.31	0.64	0.99	0.72	0.67	-0.35	3.809e-6	1.129e-5	(B) Positive
POM121L9P	22q11.23	-0.46	-0.27	0.38	0.43	-0.19	3.815e-6	1.131e-5	(B) Positive
KRTAP3-3	17q21.2	0.38	0.79	0.72	1.13	-0.41	3.820e-6	1.132e-5	(B) Positive
DPYSL2	8p21.2	-0.06	-0.42	0.74	0.65	0.36	3.827e-6	1.134e-5	(A) Negative
CCDC137	17q25.3	-0.31	-0.64	0.67	0.62	0.33	3.855e-6	1.142e-5	(A) Negative
GOLGA2P2Y	Yq11.23	-0.74	-1.14	0.82	0.69	0.40	3.875e-6	1.148e-5	(A) Negative
MT1G	16q13	-0.07	-0.60	1.09	0.93	0.53	3.879e-6	1.148e-5	(A) Negative
RHOT1	17q11.2	-0.02	0.17	0.38	0.39	-0.19	3.884e-6	1.150e-5	(B) Positive
TMEM179	14q32.33	0.11	-0.09	0.42	0.34	0.20	3.910e-6	1.157e-5	(A) Negative
TCAF2	7q35	0.54	0.18	0.74	0.62	0.36	3.917e-6	1.159e-5	(A) Negative
GPR88	1p21.2	0.46	0.81	0.56	1.07	-0.35	3.918e-6	1.159e-5	(B) Positive
BNIP1	5q35.1	0.41	0.65	0.49	0.41	-0.24	3.935e-6	1.164e-5	(B) Positive
F13A1	6p25.1	4.01	4.51	1.03	0.91	-0.50	3.942e-6	1.166e-5	(B) Positive
SLC25A40	7q21.12	-0.75	-1.05	0.60	0.60	0.30	3.963e-6	1.172e-5	(A) Negative
NCKIPSD	3p21.31	-0.84	-0.63	0.44	0.43	-0.22	3.963e-6	1.172e-5	(B) Positive
TCEAL7	Xq22.2	2.16	2.66	0.98	1.12	-0.50	3.969e-6	1.173e-5	(B) Positive
RPRM	2q23.3	-1.93	-2.48	1.19	0.76	0.56	3.972e-6	1.174e-5	(A) Negative
RMI2	16p13.13	-0.96	-1.41	0.89	0.94	0.45	3.972e-6	1.174e-5	(A) Negative
CRYZ	1p31.1	-0.62	-0.24	0.75	0.76	-0.37	3.986e-6	1.178e-5	(B) Positive
MTFP1	22q12.2	-0.29	-0.61	0.63	0.61	0.31	4.003e-6	1.183e-5	(A) Negative
BAG6	6p21.33	-0.24	-0.45	0.43	0.35	0.20	4.013e-6	1.185e-5	(A) Negative
GAL3ST1	22q12.2	-1.26	-1.70	0.92	0.62	0.43	4.035e-6	1.192e-5	(A) Negative
CLCN7	16p13.3	-0.08	0.20	0.56	0.57	-0.28	4.068e-6	1.201e-5	(B) Positive
CLPS	6p21.31	0.89	0.52	0.80	0.51	0.37	4.070e-6	1.202e-5	(A) Negative
HECTD4	12q24.13	0.24	0.63	0.79	0.77	-0.39	4.117e-6	1.215e-5	(B) Positive
ANXA6	5q33.1	-1.06	-0.62	0.90	0.87	-0.44	4.149e-6	1.224e-5	(B) Positive
SULF2	20q13.12	-0.50	0.09	1.19	1.17	-0.59	4.154e-6	1.226e-5	(B) Positive
SLC7A11	4q28.3	-1.90	-2.36	0.92	0.98	0.46	4.157e-6	1.227e-5	(A) Negative
WDR46	6p21.32	-0.62	-0.79	0.36	0.33	0.17	4.159e-6	1.227e-5	(A) Negative
DZANK1	20p11.23	0.86	1.21	0.73	0.53	-0.34	4.176e-6	1.232e-5	(B) Positive
BCLAF3	Xp22.12	0.89	1.15	0.53	0.45	-0.26	4.189e-6	1.235e-5	(B) Positive
UBA7	3p21.31	0.94	1.35	0.86	0.72	-0.41	4.245e-6	1.252e-5	(B) Positive
PPP1R21	2p16.3	0.13	-0.10	0.50	0.35	0.24	4.263e-6	1.257e-5	(A) Negative
COX4I2	20q11.21	1.52	1.81	0.58	0.59	-0.29	4.277e-6	1.261e-5	(B) Positive
NUDT22	11q13.1	-0.28	-0.04	0.49	0.46	-0.24	4.287e-6	1.263e-5	(B) Positive
ITGB1BP1	2p25.1	-0.58	-0.88	0.61	0.52	0.29	4.307e-6	1.269e-5	(A) Negative
SLC22A10	11q12.3	0.15	0.32	0.28	0.49	-0.16	4.317e-6	1.272e-5	(B) Positive
SANBR	2p15	0.34	-0.06	0.85	0.60	0.40	4.328e-6	1.275e-5	(A) Negative
